name,season,team_abbr,gs,ip,era,whip,k_per_9,k_per_9,bb_per_9,hr_per_9,fip_proxy
Zack Greinke,2021,HOU,31,177.1,4.11,1.184,6.3,6.301524562394128,1.9819311123658951,1.575381140598532,4.735855448898928
Zach Eflin,2021,PHI,18,105.2,4.17,1.249,8.4,8.46958174904943,1.3688212927756653,1.2832699619771863,3.6277566539923956
Kyle Muller,2021,ATL,8,36.2,4.17,1.255,9.1,9.198895027624308,4.972375690607734,0.49723756906077343,3.5314917127071825
Joe Ross,2021,WSN,19,108.0,4.17,1.222,9.1,9.083333333333334,2.8333333333333335,1.4166666666666667,4.1722222222222225
Elieser Hern\xc3\xa1ndez,2021,MIA,11,51.2,4.18,1.316,9.2,9.31640625,2.4609375,2.28515625,5.25078125
Sonny Gray,2021,CIN,26,135.1,4.19,1.219,10.3,10.325684678016284,3.3308660251665434,1.2657290895632864,3.8439674315321986
Bailey Ober,2021,MIN,20,92.1,4.19,1.202,9.4,9.381107491856678,1.8566775244299676,1.954397394136808,4.557220412595006
Blake Snell,2021,SDP,27,128.2,4.2,1.321,11.9,11.934477379095165,4.84399375975039,1.1232449297971918,3.7850234009360375
Huascar Ynoa,2021,ATL,17,92.0,4.21,1.13,10.0,9.978260869565219,2.543478260869565,1.4673913043478262,3.95
Brett Anderson,2021,MIL,24,96.0,4.22,1.354,5.4,5.4375,2.625,1.03125,4.35625
Yu Darvish,2021,SDP,30,166.1,4.22,1.094,10.8,10.78266104756171,2.384105960264901,1.5171583383503913,3.7900060204695967
Miles Mikolas,2021,STL,9,44.2,4.23,1.209,6.2,6.3122171945701355,2.2398190045248865,1.2217194570135745,4.308597285067873
Cole Irvin,2021,OAK,32,178.1,4.24,1.329,6.3,6.316676024705222,2.1224031443009546,1.1622683885457608,4.182594048287479
Luke Weaver,2021,ARI,13,65.2,4.25,1.188,8.5,8.558282208588956,2.7607361963190185,1.51840490797546,4.411656441717792
Justin Steele,2021,CHC,9,57.0,4.26,1.351,9.3,9.315789473684212,4.263157894736842,1.894736842105263,5.287719298245614
Paolo Espino,2021,WSN,19,109.2,4.27,1.213,7.6,7.582417582417582,2.0604395604395602,1.565934065934066,4.463736263736264
Zac Gallen,2021,ARI,23,121.1,4.3,1.294,10.3,10.330305532617672,3.641618497109827,1.412056151940545,4.1578860445912476
Jake Odorizzi,2021,HOU,23,111.0,4.3,1.252,8.2,8.18918918918919,2.7567567567567566,1.4594594594594597,4.4072072072072075
Jameson Taillon,2021,NYY,29,144.1,4.3,1.206,8.7,8.743927827897293,2.7480916030534353,1.4989590562109647,4.338098542678695
Kyle Freeland,2021,COL,23,120.2,4.33,1.417,7.8,7.86189683860233,2.8452579034941765,1.497504159733777,4.564392678868552
Tarik Skubal,2021,DET,29,149.1,4.34,1.259,9.9,9.899396378269618,2.837022132796781,2.112676056338028,4.997451374916164
Taylor Widener,2021,ARI,13,70.1,4.35,1.45,9.3,9.372325249643367,4.750356633380885,1.797432239657632,5.297004279600571
Trevor Williams,2021,NYY,15,91.0,4.35,1.495,8.9,8.901098901098901,3.065934065934066,1.0879120879120878,3.8153846153846156
Hyun Jin Ryu,2021,TOR,31,169.0,4.37,1.225,7.6,7.615384615384615,1.970414201183432,1.2781065088757397,4.010650887573965
Nick Pivetta,2021,BOS,31,168.2,4.38,1.281,10.1,10.112960760998812,3.7455410225921524,1.4447086801426874,4.287990487514864
Sean Nolin,2021,WSN,5,26.2,4.39,1.688,6.8,6.870229007633588,4.465648854961832,1.3740458015267176,5.146564885496184
Dinelson Lamet,2021,SDP,9,47.0,4.4,1.489,10.9,10.914893617021278,4.212765957446809,1.1489361702127658,3.8382978723404255
Germ\xc3\xa1n M\xc3\xa1rquez,2021,COL,32,180.0,4.4,1.272,8.8,8.799999999999999,3.2,1.05,3.827777777777778
Yusei Kikuchi,2021,SEA,29,157.0,4.41,1.318,9.3,9.343949044585987,3.554140127388535,1.5477707006369426,4.543949044585988
Wade LeBlanc,2021,STL,9,49.0,4.41,1.49,5.3,5.326530612244898,3.122448979591837,1.4693877551020407,5.179591836734694
Luis Pati\xc3\xb1o,2021,TBR,15,79.2,4.41,1.268,8.6,8.636363636363637,3.409090909090909,1.4772727272727273,4.551010101010101
Antonio Senzatela,2021,COL,28,156.2,4.42,1.34,6.0,6.049935979513444,1.8437900128040976,0.6914212548015366,3.468886043533931
Kris Bubic,2021,KCR,20,130.0,4.43,1.385,7.9,7.892307692307693,4.084615384615384,1.5230769230769232,5.007692307692308
Merrill Kelly,2021,ARI,27,158.0,4.44,1.291,7.4,7.405063291139241,2.3354430379746836,1.1962025316455696,4.060759493670886
Joey Lucchesi,2021,NYY,8,38.1,4.46,1.174,9.6,9.68503937007874,2.5984251968503935,0.9448818897637795,3.278740157480315
Taijuan Walker,2021,NYY,29,159.0,4.47,1.182,8.3,8.264150943396226,3.1132075471698113,1.471698113207547,4.527044025157233
Touki Toussaint,2021,ATL,10,50.0,4.5,1.3,8.6,8.64,3.96,1.98,5.46
Dane Dunning,2021,TEX,25,117.2,4.51,1.436,8.7,8.754266211604095,3.302047781569966,0.9982935153583617,3.797269624573379
Tylor Megill,2021,NYY,18,89.2,4.52,1.283,9.9,9.988789237668161,2.724215246636771,1.9170403587443947,4.657399103139014
Tyler Anderson,2021,SEA,31,167.0,4.53,1.246,7.2,7.221556886227545,2.0479041916167664,1.4550898203592815,4.379640718562874
Austin Gomber,2021,COL,23,115.1,4.53,1.24,8.8,8.835794960903563,3.205907906168549,1.5638575152041703,4.564031277150304
Nick Neidert,2021,MIA,7,35.2,4.54,1.514,5.3,5.369318181818182,5.8806818181818175,1.0227272727272727,5.444318181818182
Jeff Hoffman,2021,CIN,11,73.0,4.56,1.575,9.7,9.73972602739726,5.5479452054794525,1.4794520547945205,5.021917808219178
Drew Smyly,2021,ATL,23,134.0,4.57,1.381,8.4,8.395522388059701,2.888059701492537,1.880597014925373,5.013432835820896
Stephen Strasburg,2021,WSN,5,21.2,4.57,1.385,8.7,8.915094339622641,5.943396226415095,1.6981132075471699,5.652830188679245
Adbert Alzolay,2021,CHC,21,125.2,4.58,1.162,9.2,9.201277955271564,2.4440894568690092,1.7971246006389774,4.565814696485623
Domingo Germ\xc3\xa1n,2021,NYY,18,98.1,4.58,1.18,9.0,8.990825688073395,2.4770642201834865,1.559633027522936,4.280530071355759
Jon Gray,2021,COL,29,149.0,4.59,1.329,9.5,9.483221476510067,3.5033557046979866,1.268456375838926,4.09261744966443
Jaime Barria,2021,LAD,11,56.2,4.61,1.571,5.6,5.604982206405694,3.0427046263345194,1.281138790035587,4.8192170818505335
Aaron Nola,2021,PHI,32,180.2,4.63,1.129,11.1,11.137624861265262,1.9478357380688125,1.2985571587125415,3.249944506104329
Ross Detwiler,2021,SDP,5,52.1,4.64,1.223,10.7,10.710172744721689,3.45489443378119,1.727447216890595,4.4667946257197695
Chris Archer,2021,TBR,5,19.1,4.66,1.345,9.8,9.895287958115183,3.7696335078534027,1.4136125654450262,4.299476439790576
Taylor Hearn,2021,TEX,11,104.1,4.66,1.323,7.9,7.953890489913545,3.6311239193083575,1.4697406340057637,4.765802113352546
Kenta Maeda,2021,MIN,21,106.1,4.66,1.298,9.6,9.585296889726672,2.7144203581526867,1.3572101790763433,3.935155513666353
Madison Bumgarner,2021,ARI,26,146.1,4.67,1.182,7.6,7.6386036960985635,2.402464065708419,1.4784394250513349,4.4388774811772755
Zach Plesac,2021,CLE,25,142.2,4.67,1.199,6.3,6.329113924050634,2.1518987341772156,1.4556962025316458,4.613502109704641
Logan Gilbert,2021,SEA,24,119.1,4.68,1.173,9.7,9.672544080604533,2.115869017632242,1.28463476070529,3.611418975650714
Jon Lester,2021,WSN,28,141.1,4.71,1.514,5.8,5.804394046775337,3.508150248051028,1.5946137491141037,5.382849043231751
Vladimir Gutierrez,2021,CIN,22,114.0,4.74,1.412,6.9,6.947368421052631,3.631578947368421,1.5789473684210527,5.147368421052632
Eduardo Rodr\xc3\xadguez,2021,BOS,34,170.1,4.76,1.356,10.5,10.529100529100528,2.5925925925925926,1.0582010582010581,3.252910052910053
Kyle Hendricks,2021,CHC,32,181.0,4.77,1.348,6.5,6.513812154696133,2.187845303867403,1.541436464088398,4.70828729281768
Ross Stripling,2021,TOR,19,101.1,4.8,1.273,8.3,8.367952522255194,2.6706231454005938,2.0474777448071215,5.18813056379822
Chad Kuhl,2021,PIT,14,80.1,4.82,1.432,8.4,8.426966292134832,4.7191011235955065,1.4606741573033708,5.010237203495631
Caleb Smith,2021,ARI,13,113.2,4.83,1.372,9.8,9.858657243816255,5.008833922261484,1.5901060070671378,4.975618374558304
Garrett Richards,2021,BOS,22,137.0,4.86,1.591,7.6,7.554744525547445,3.9416058394160585,1.2481751824817517,4.637956204379562
Matt Peacock,2021,ARI,8,86.1,4.9,1.564,5.2,5.2264808362369335,2.9268292682926833,1.358885017421603,4.977003484320558
Johan Oviedo,2021,STL,13,62.1,4.91,1.572,7.4,7.391304347826087,5.36231884057971,1.1594202898550723,5.019645732689211
Brady Singer,2021,KCR,27,128.1,4.91,1.551,9.2,9.203747072599532,3.7236533957845435,0.9836065573770493,3.816705698672912
Mart\xc3\xadn P\xc3\xa9rez,2021,BOS,22,117.0,4.92,1.556,7.5,7.461538461538462,3.076923076923077,1.4615384615384617,4.678632478632479
Humberto Castellanos,2021,ARI,7,45.2,4.93,1.38,5.7,5.774336283185841,2.986725663716814,1.393805309734513,4.925663716814159
Triston McKenzie,2021,CLE,24,120.0,4.95,1.183,10.2,10.2,4.35,1.575,4.658333333333333
Reiss Knehr,2021,SDP,5,29.0,4.97,1.483,6.2,6.206896551724139,6.206896551724139,0.6206896551724138,4.786206896551724
Cody Poteet,2021,MIA,7,30.2,4.99,1.337,9.4,9.536423841059603,4.768211920529802,2.0860927152317883,5.683443708609271
Braxton Garrett,2021,MIA,7,34.0,5.03,1.824,8.5,8.470588235294118,5.294117647058823,0.7941176470588236,4.229411764705882
Josh Fleming,2021,TBR,11,105.1,5.04,1.367,5.6,5.651760228353949,2.6546146527117034,0.9419600380589915,4.1895337773549
Bruce Zimmermann,2021,BAL,13,64.1,5.04,1.508,7.8,7.862714508580344,3.088923556942278,1.965678627145086,5.321684867394696
Mike Minor,2021,KCR,28,158.2,5.05,1.242,8.5,8.47661188369153,2.3324905183312263,1.4791403286978508,4.230341340075854
Alec Mills,2021,CHC,20,119.0,5.07,1.437,6.6,6.579831932773109,2.571428571428571,1.2100840336134453,4.342857142857143
Chris Paddack,2021,SDP,22,108.1,5.07,1.265,8.2,8.24236817761332,1.8316373728029605,1.2488436632747457,3.7827937095282147
Ryan Yarbrough,2021,TBR,21,155.0,5.11,1.226,6.8,6.7935483870967746,1.567741935483871,1.4516129032258065,4.309677419354839
Jordan Lyles,2021,TEX,30,180.0,5.15,1.389,7.3,7.3,2.8,1.9,5.2555555555555555
Jakob Junis,2021,KCR,6,39.1,5.26,1.398,9.4,9.437340153452686,2.762148337595908,1.6112531969309463,4.350895140664962
Dallas Keuchel,2021,CHC,30,162.0,5.28,1.531,5.3,5.277777777777779,3.2777777777777777,1.3888888888888888,5.125925925925926
Ryan Weathers,2021,SDP,18,94.2,5.32,1.384,6.8,6.878980891719745,2.8662420382165603,1.9108280254777068,5.386836518046709
Eli Morgan,2021,CLE,18,89.1,5.34,1.254,8.2,8.181818181818183,2.2222222222222223,2.0202020202020203,5.040628507295175
Bryse Wilson,2021,PIT,16,74.0,5.35,1.446,5.6,5.594594594594595,2.675675675675676,1.8243243243243243,5.4837837837837835
JT Brubaker,2021,PIT,24,124.1,5.36,1.295,9.3,9.355358581788881,2.755842062852538,2.0306204673650283,4.97276390008058
Michael Wacha,2021,TBR,23,127.1,5.37,1.351,8.8,8.851298190401259,2.1951219512195124,1.699449252557042,4.419512195121952
Brad Keller,2021,KCR,26,133.2,5.39,1.661,8.1,8.108108108108109,4.324324324324325,1.2162162162162162,4.596396396396397
