team_abbr,season,team_avg_starter_era,team_avg_starter_whip,team_avg_starter_k_per_9,team_avg_starter_k_per_9,team_avg_starter_bb_per_9,team_avg_starter_hr_per_9,team_avg_starter_fip_proxy
MIL,2025,3.597,1.2036,9.09,9.102213562573471,3.007036660873511,1.1029865013279163,3.7728341527485005
MIN,2021,5.563750000000001,1.338125,7.3625,7.404098184913385,2.648508367324009,1.7222703709774048,4.925204839427947
MIN,2022,3.9939999999999998,1.2058,7.58,7.601259344109271,2.4358854270846506,1.1026767337334846,3.9155483479523014
MIN,2023,4.07,1.220375,9.375,9.424425883711095,2.449052258338881,1.3688702581798644,3.899290929325854
MIN,2024,5.014444444444445,1.3303333333333331,9.022222222222222,9.061296707284354,2.472877813925267,1.553920097412105,4.255222365951607
MIN,2025,4.515714285714286,1.2521428571428572,8.6,8.626104609045237,2.5915609554426915,1.4482559280801313,4.238866745919923
NYY,2021,4.041764705882352,1.2204705882352942,9.75294117647059,9.779393759862279,2.960332345938759,1.304806022913089,3.898298646217986
NYY,2022,3.687142857142857,1.1460000000000001,9.235714285714286,9.249177962878367,2.3730198844410237,1.1995018067269305,3.6682474683351596
NYY,2023,4.294117647058823,1.325764705882353,8.505882352941176,8.529985214656596,3.3799058096101877,1.2779919490418006,4.277071370784531
NYY,2024,4.275333333333333,1.2984,8.653333333333334,8.683091113205519,3.4363205746952574,1.1686752812447692,4.103950905984081
NYY,2025,4.395789473684211,1.3401052631578947,8.657894736842104,8.70861630574687,3.542225600293424,1.2157524379696172,4.2015806536657285
OAK,2021,4.46,1.321142857142857,8.542857142857143,8.549675002323648,2.737613444892916,1.3512454902880875,4.164409078197399
OAK,2022,5.1036363636363635,1.3610909090909091,6.927272727272728,6.939480502073663,2.9651997948353226,1.3690905880001762,4.623868447151215
OAK,2023,5.476999999999999,1.4794,8.28,8.300770533670107,4.060593123046764,1.2554343587544234,4.522320551734176
OAK,2024,4.728181818181818,1.4089090909090909,7.5181818181818185,7.529979040303883,3.501953875146832,1.0721421847188675,4.24263910513089
PHI,2021,4.33,1.2423333333333335,8.9,8.908909625752555,2.749370868805135,1.2202506533869324,3.899283538771158
PHI,2022,3.8242857142857143,1.1805714285714284,8.157142857142857,8.186338524953365,2.14104170767755,1.071292689031915,3.641917003393424
PHI,2023,3.792857142857143,1.1551428571428572,8.742857142857144,8.77861288414356,2.4566641481233953,1.133159785351377,3.704871542850108
PHI,2024,4.208571428571429,1.2582857142857142,8.328571428571427,8.36787209212387,2.6550953236232586,1.357919629570915,4.186944107893771
PHI,2025,4.17375,1.275,8.9375,8.953337729376974,2.831788527462706,1.2329285889962174,3.9351957533983333
PIT,2021,5.537000000000001,1.5285,7.7299999999999995,7.787321751392869,3.8212499800744184,1.4036857213349812,4.770780090532474
